spec,page,genspec,age.my,tooth,stat,plateno,length,width,um3hgt,lamfreq,enamthk,hypsoindex
15,55,M. africanavus,3,M2/,Mean,8.5,192.6,81.9,95,4.4,3.5,120.8
15,55,M. africanavus,3,M2/,Stdev,,,6.2,7.6,0.4,0.3,14.9
15,55,M. africanavus,3,M2/,N,4,3,9,8,9,9,8
15,55,M. africanavus,3,M/2,Mean,8.4,226.6,84.7,90.7,3.9,3.7,113.8
15,55,M. africanavus,3,M/2,Stdev,0.5,,12.9,,0.4,0.3,
15,55,M. africanavus,3,M/2,N,5,3,7,3,6,7,3
15,55,M. africanavus,3,M1/,Mean,6.5,138.3,67.3,75.2,4.9,2.9,113.8
15,55,M. africanavus,3,M1/,Stdev,,,3.5,7.8,0.3,0.4,10.6
15,55,M. africanavus,3,M1/,N,4,1,8,7,9,8,7
15,55,M. africanavus,3,M/1,Mean,7,163,70.5,66.8,4.5,3,107.6
15,55,M. africanavus,3,M/1,Stdev,,,4.5,,0.3,0.5,
15,55,M. africanavus,3,M/1,N,2,1,7,3,8,7,3
16,58,M. meridionalis,2.3,M3/,Mean,12.8,273,104.8,122.7,4.9,3.3,125.6
16,58,M. meridionalis,2.3,M3/,Stdev,1.1,26.1,11.1,12.6,0.6,0.4,15.3
16,58,M. meridionalis,2.3,M3/,N,33,32,39,30,40,36,25
16,58,M. meridionalis,2.3,M/3,Mean,12.1,266.3,97.2,115,4.6,3.4,126.4
16,58,M. meridionalis,2.3,M/3,Stdev,1.5,27.5,12.4,21,0.6,0.4,15.4
16,58,M. meridionalis,2.3,M/3,N,19,18,36,17,36,33,14
16,58,M. meridionalis,2.3,M2/,Mean,9.7,206.7,86.8,113.9,5.1,2.9,130.6
16,58,M. meridionalis,2.3,M2/,Stdev,0.7,21.5,7.5,14,0.4,0.5,11.1
16,58,M. meridionalis,2.3,M2/,N,14,12,18,11,18,17,11
16,58,M. meridionalis,2.3,M/2,Mean,9.3,198.7,85.1,97.8,5.1,2.8,121.6
16,58,M. meridionalis,2.3,M/2,Stdev,0.8,9.6,7.9,8,0.4,0.4,16.7
16,58,M. meridionalis,2.3,M/2,N,6,3,10,5,10,8,5
16,58,M. meridionalis,2.3,M1/,Mean,8.7,154,72.3,87,6.1,6.1,123.7
16,58,M. meridionalis,2.3,M1/,Stdev,1.2,13,7.2,7.9,0.4,0.2,18.7
16,58,M. meridionalis,2.3,M1/,N,6,6,7,6,7,7,6
16,58,M. meridionalis,2.3,M/1,Mean,9.2,151.6,67,94,7,2.2,130.1
16,58,M. meridionalis,2.3,M/1,Stdev,,,,,,,
16,58,M. meridionalis,2.3,M/1,N,4,4,4,2,4,4,2
17,59,M. armeniacus,0.7,M3/,Mean,18.6,293,85.2,162.5,6.5,2.2,199.7
17,59,M. armeniacus,0.7,M3/,Stdev,1.9,33.9,14.2,28,0.8,0.4,40.3
17,59,M. armeniacus,0.7,M3/,N,20,17,26,22,26,25,18
17,59,M. armeniacus,0.7,M/3,Mean,18.3,298.2,87.6,139.8,6.3,2.3,165.9
17,59,M. armeniacus,0.7,M/3,Stdev,2,32.8,11.5,17.9,0.6,0.3,21.9
