Section ID,Section Depth T (cm),Section Depth B (cm),Corrected mblf T,Age cal yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
GLAD2-LT01-2B-6H-2,0,2,13.74,27033.1,46.28,16.63,25.48,38.8,26.98,17.89,16.78,16.63,24.9,19.43,20.9,20.43,22.16,18.93,20.69,25.55,27.44,26.55,28.54,19.48,22.98,32.75,20.06,21.57,25.04,22.71,17.5,28.99,35.34,18.69,22.78,21.05,23.79,15.18,24.63,19.33,18.45,39,21.68,12.79,19.11,56.39,17.3,26.32,,,,,,
GLAD2-LT01-2B-6H-2,20,22,13.94,27156.1,40.46,39.98,21.21,24.2,15.59,24.98,22.04,120.32,23.42,23.13,16.27,16.66,17.64,25.59,21.38,20.56,62.8,27.94,19.33,13.75,23.59,18.44,21.84,18.56,39.9,22.71,29.7,33.7,26.03,33.23,39.66,40,25.03,40.41,33.02,22.66,28.61,20.83,22.83,40.97,29.28,18.03,17.33,29.37,21.09,26.98,32.46,45.23,37.74,20.62
GLAD2-LT01-2B-6H-2,40,42,14.14,27279.1,33.44,23.49,17.86,43.53,42.32,25.37,27.23,43.28,15.05,19.02,33.84,21.45,22.59,21.86,22.99,13.82,26.78,22.85,28.38,41.92,34.49,28.16,24.68,19.32,25.17,28.76,29.55,31.2,34.47,18.62,24.88,23.74,23.27,16.62,15.89,15.93,35.39,23.12,71.39,29.62,23.27,24.67,18.05,27.06,22.68,19.42,17.76,17.98,19.9,16.54
GLAD2-LT01-2B-6H-2,60,62,14.34,27402.1,19.84,20.65,17.04,40.53,23.48,23.01,30.16,25.24,33.27,31.08,29.27,31.36,43.46,18.35,21,17.21,30.79,14.38,15.89,19.98,19.33,21.99,15.44,17.5,65.66,23.27,19.77,20.16,42.02,23.81,17.34,38.86,23.97,21.16,20.95,27.73,16.42,18.25,40.05,27.91,21.74,18.7,21.3,17.58,18.04,17.07,38.11,118.24,30.16,28.66
GLAD2-LT01-2B-6H-2,80,82,14.54,27525.1,20.29,15.67,31.58,24,19.4,21.77,24.27,43.41,17.02,22.93,18.08,14.49,20.34,17.28,16.67,19.89,57.12,18.3,29.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAD2-LT01-2B-6H-2,120,122,14.94,27771.1,36.41,55.57,17.73,23.55,40.14,21.65,18.21,52.22,23.06,22.39,27.85,27.71,26.13,26.01,19.12,14.72,23.13,29.78,18.24,21.27,20.12,19.26,19.9,18.03,35.92,23.27,20.42,31.93,24.17,41.09,,,,,,,,,,,,,,,,,,,,
GLAD2-LT01-2B-7H-1,20,22,15.43,28072.45,19.6,23.21,18.54,35.57,32.64,15.55,25.88,22.76,29.39,24.66,17.43,22.12,16.77,31.57,13.64,16.88,41.43,28.28,29.99,17.29,22.42,18.81,20.67,21.38,23.87,31.36,32.11,17.51,17.13,23.4,24.98,31.38,29.41,13.74,28.93,16.54,15.21,24.61,17.55,24.12,23.04,19.07,20.99,19.23,22.05,16.74,35.43,17.24,30.91,23.84
GLAD2-LT01-2B-7H-2,20,22,16.935,29948.35,33.7,39.73,15.18,30.73,21.57,21.87,17.24,40.35,18.73,26.34,14.42,28.98,14.97,55.22,23.89,26.6,18.79,13.95,30.25,14.04,21.17,58.42,12.29,15.51,16.54,18.84,22.55,14.85,13.95,21.07,14.83,19.83,25.16,26.01,24.55,13.49,21.74,17.24,14.07,17.45,22.06,45.71,22.82,24.03,50.69,29.27,29.57,34.14,13.95,34.68
GLAD2-LT01-2B-7H-2,60,62,17.335,30512.35,16.47,19.35,20.24,18.25,16.92,11.17,32.4,11.68,19.61,31.42,20.11,48.19,30.4,13.29,14.12,35.7,34.76,17.53,20.85,17.24,23.26,17.44,12.89,26.54,28.06,17.94,39.2,11.45,12.71,29.57,25.21,16.4,14.41,16.47,20.95,33.65,17.16,32.84,19.37,17.62,22.84,14.09,13.89,34.23,14.88,15.36,35.84,23.55,22.42,25.09
GLAD2-LT01-2B-7H-2,80,82,17.535,30794.35,23.78,36.4,34.33,14.86,17.72,35.14,14.01,23.58,39.1,39.33,16.61,19.39,63.13,35.36,18.91,17.76,31.01,30.02,31.35,20.6,28.26,27.09,27.79,33.98,29.35,17.33,19.96,37.49,12.46,14.56,41.38,14.63,27.32,23.54,13.34,34.5,29.18,18.5,25.91,11.74,19.84,23.68,22.15,15.7,15.01,16.86,28.05,47.19,32.68,19.07
GLAD2-LT01-2B-7H-2,100,102,17.735,31076.35,15.82,14.88,12.55,24,36,11.78,21.15,23.62,19.09,27.48,13.64,29.59,34.03,17.97,38.71,20.26,14.32,36.77,38.15,38.05,15.51,13.33,15.62,30.29,20.25,16.12,17.99,18.13,24.08,35.95,20.51,14.33,12.85,13.43,13.87,19.95,16.06,24.67,35.48,15.18,15.25,31.18,18.08,33.56,14.25,31.77,13.82,22.12,15.53,23.23
GLAD2-LT01-2B-7H-2,120,122,17.935,31358.35,30.6,33.54,27.53,62.09,24.15,14.92,31,13.45,31.35,18.53,17.46,22.51,19,18.44,42.65,109.86,113.3,20.46,14.59,23.53,16.95,46.55,9.22,63.1,26.29,17.17,42.59,44.49,19.35,32.61,26.97,13.25,23.51,36.33,30.95,19.21,44.27,26.07,19.4,26.4,17.36,21.6,35.72,13.19,38.42,17.78,19.51,19.73,64.34,10.39
GLAD2-LT01-2B-8H-1,0,2,18.23,31774.3,20.74,21,15.58,30.94,15.06,11.07,28.79,36.01,18.49,33.72,29.02,20.38,17.01,21.86,19.13,28.36,13.84,23.02,22.12,32.27,21.31,26.98,23.46,13.11,30.94,16.12,18.51,16.78,14.17,10.23,22.66,17.72,18.24,41.98,28.57,25.68,21.72,17.59,17.2,41.83,17.51,24.63,26.82,25.73,20.38,23.24,14.34,19.15,13.47,23.96
GLAD2-LT01-2B-8H-1,60,62,18.828,32617.48,34.68,13.76,60.09,25.61,24.73,27.55,13.39,83.44,28.18,16.67,26.62,18.51,14.9,30.99,26.54,23.78,28.6,19.87,15.13,18.49,13.88,14.72,27.11,14.7,18.19,19.22,15.43,16.16,12.59,14.68,18.82,16.49,26.7,15.97,28.68,12.07,31.5,65.45,17.37,15.73,16.66,19.94,17.55,14.43,28.72,18.27,25.7,23.54,9.84,
GLAD2-LT01-2B-8H-1,80,82,19.027,32898.07,31.77,15.03,12.07,16.54,24.64,19.24,24.01,19.84,18.8,27.39,26.88,19.41,29.29,23.8,31.84,33.33,21.29,20.16,25.03,24.03,27.2,12.46,28.51,30.98,24.87,13.33,34.69,71.99,21.25,18.27,27.18,24.15,16.79,19.22,30.31,22.25,16.58,11.77,25.24,16.83,39.17,21.27,20.35,13.27,15.98,26.33,17.31,17.71,21.92,30.31
GLAD2-LT01-2B-8H-1,100,102,19.227,33180.07,14.36,21.82,31.8,18.62,15.78,26.39,15.05,21.1,12.95,15.42,14.88,17.02,14.64,18.45,25.41,19.93,17.95,32.28,34.66,16.09,29.84,12.43,39.61,20.87,21.09,20.96,51.93,15.92,17.89,23.4,53.54,32.69,17.51,18.41,73.92,29.49,57.67,19.83,19.8,21.35,21.22,30.16,22.14,17,19.04,22.64,21.66,16.39,18.42,
GLAD2-LT01-2B-8H-2,60,62,20.333,34739.53,15.42,17.01,24.71,19.8,29.08,20.78,39.88,35.28,12.75,14.65,45.61,35.51,13.55,12.14,33.84,23.27,17.11,22.05,15.05,27.8,27.33,12.06,22.68,20.18,29.1,31.12,16.67,31.79,30.21,23.72,23,34.73,12.9,24.63,27.89,21.15,22.3,14.51,23.67,26.8,25.86,15.78,23.17,21.84,21.22,19.46,124.74,26.95,17.46,27.36
GLAD2-LT01-2B-8H-2,80,82,20.532,35020.12,55.68,22.84,53.29,21.94,15.04,30.28,14.06,23.78,20.02,27.72,23.8,19.99,20.89,13.95,23.84,12.73,29.82,25.36,28.18,36.27,22.81,25,16.86,22.98,20.17,17.07,28.83,20.63,17.84,33.17,26.67,18.36,15.3,18.28,12.12,16.44,23.65,25,18.11,19.28,19.39,29.66,21.3,21.08,19.35,31.76,19.74,22.04,13.5,15.23
GLAD2-LT01-2B-8H-2,100,102,20.732,35302.12,32.17,18.38,29.37,15.81,30.98,16.84,33.67,28.85,30.24,23.73,16.57,13.43,22.06,23.92,37.23,23.98,32.1,16.17,18.64,21.77,22.76,23.18,19.36,25.16,66.68,68.02,24.53,16.81,21.92,23.01,14.56,21.16,23.16,18.75,47.12,17.53,13.13,28.02,17.02,17.92,15.79,17.08,34.14,23.15,42.14,20.66,27.86,23.45,22.4,15.44
GLAD2-LT01-2B-8H-2,120,122,20.931,35582.71,28.1,27.44,24.99,22.96,21.11,14.19,30.66,24.53,34.07,25.86,49.9,75.74,22.28,22.79,22.2,62.39,18.6,15.47,21.35,17.23,37.79,18.78,19.07,18.1,26.03,22.88,22.28,23.55,19.71,27.48,29.94,16.71,19.22,21.9,24.88,53.63,21.22,45.82,22.93,34.13,24.52,26.86,27.9,29.6,23.73,20.29,25.51,56.12,24.66,27.61
GLAD2-LT01-2B-8H-2,140,142,21.13,35863.3,18.06,62.51,74.99,22.42,119.46,14.32,68.47,54.63,27.03,13.41,14.26,19.71,16.85,32.11,19.66,27.92,109.24,22.72,30.27,15.05,20.02,22.83,24.58,27.72,17.67,17.07,19.05,16.52,26.88,125.62,22.14,21.87,30.1,24.77,70.97,25.78,66.35,27.19,21.16,48.37,22.98,41.88,50.49,50.18,,,,,,
GLAD2-LT01-2B-9H-1,0,2,21.23,36004.3,18.58,15.99,14.47,13.3,24.89,40.68,32.15,24.65,33.11,23.66,59.85,18.73,39.7,22.87,20.93,29.87,20.14,16.58,13.32,17.12,26.22,15.13,12.86,36.51,17.71,20.31,24.04,24.01,18.38,44.32,42.78,17.05,34.78,31.72,15.85,60.26,28.66,13.33,25.44,13.22,21.27,27.78,22.79,23.06,11.02,21.34,16.08,21.76,31.89,21.24
GLAD2-LT01-2B-9H-1,20,22,21.43,36286.3,18.68,19.95,23.57,34.66,56.98,53.17,46.14,24.29,19.11,27.97,20.65,13.92,23.42,15.74,19.62,14.98,14.98,45.61,20.22,25.5,16.46,18.38,25.44,18.95,16.1,23.62,18.44,56.24,19.34,15.38,20.64,19.86,26.75,18.67,24.64,28.75,79.06,17.7,58.57,26.81,29.41,23.84,38.34,25.53,15.19,24.79,18.68,27.67,29.54,25.51
GLAD2-LT01-2B-9H-1,40,42,21.63,36568.3,38.39,38.17,34.58,31.52,29.4,15.1,45.08,20.8,42.57,31.52,16.27,42.29,37.03,15.78,24.17,20.29,21.45,18.51,26.3,16.75,32.28,57.04,44.73,21.93,13.01,60.08,30.27,15.58,15.72,55.14,17.53,25.73,10.82,24.06,33.91,31.28,31.43,33.47,48.16,11.52,19.63,18.82,25.11,35.45,29.73,50.54,55.01,22.39,20.21,37.98
GLAD2-LT01-2B-9H-1,60,62,21.83,36850.3,14.08,41.89,30,23.58,51.41,18.74,21.02,60.14,14.29,60.12,29.11,18.44,15.73,39.94,47.11,24.07,31.23,14.93,26.62,19.89,36.62,17.75,19.8,21.73,24.67,21.76,57.64,53.19,127.84,41.77,22.25,47.53,20.67,35.6,14.77,50.53,23.93,38.76,21.39,12.8,11.42,23.88,15.24,19.13,80.11,21.47,36.9,38.51,45.84,21.46
GLAD2-LT01-2B-9H-1,80,82,22.03,37132.3,14.66,26.63,14.29,35.97,18.37,21.07,19.92,13.91,23.99,21.51,21.58,11.95,15.82,13.07,12.8,59.59,10.86,13.29,38.21,22.74,12.31,16.99,18.6,39.78,13.25,16.84,11.5,12.85,13.17,15.64,17.13,25.95,26.13,26.22,34.26,21.58,19.77,17.63,11.88,18.96,24.13,15.54,39.8,16.2,21.53,14.72,14.31,20.44,22.78,34.59
GLAD2-LT01-2B-9H-1,120,122,22.43,37696.3,21.97,33.08,24.72,16.21,36.22,18.07,13.93,18.64,20.26,50.31,49.97,16.9,25.26,35.18,22.77,15.6,22.07,16.58,16.09,23.88,25.86,12.87,22.63,31.86,18.71,48.06,19.52,21.77,24.87,57.01,14.92,21.31,15.98,24.21,25.44,24.01,15.07,14.21,14.63,44.37,20.23,73.23,88.81,21.41,25.51,24.73,16.19,18.64,59.13,
GLAD2-LT01-2B-9H-1,140,142,22.63,37978.3,13.4,15.83,27.86,24.52,28.31,34.27,15.51,28.17,24.6,44.57,25.14,32.39,36.58,12.79,17.52,36.6,25.92,33.89,15.81,15.31,14.31,48.84,17.24,8.95,23.36,16.9,37.25,25.16,57.96,64.96,17.72,34.1,20.45,13.62,59.73,23.9,14.03,16.71,18.98,41.71,29.47,15.17,41.37,,,,,,,
GLAD2-LT01-2B-9H-2,0,2,22.72,38105.2,17.65,19.64,18.37,15,12.07,24.32,27.32,19.23,17.42,52.67,16.59,14.96,18.98,13.81,16.55,15.99,15.24,34.49,12.81,17.88,36.56,22.18,17.15,18.84,30.24,14.68,18.03,14.09,26.03,14.85,41.63,14.29,21.63,15.24,16.18,23.02,13.74,12.04,13.04,56.87,14.85,27.86,27.22,13.56,23.92,26.52,23.07,11.38,15.88,20.27
GLAD2-LT01-2B-9H-2,20,22,22.92,38387.2,21.77,30.38,19.06,23.62,46.19,31.89,16.34,32.6,33.43,18.21,24.37,37.1,15.1,13.5,22.93,12.5,17.77,35.56,25.8,21.01,20.1,29.12,25.46,16.3,14.54,40.63,29.6,50.09,15.34,19.94,50.9,23.15,22.45,50.8,30.93,43.53,35.24,25.56,20.58,24.95,15.46,18.99,34,50.25,17.5,23.2,20.94,17.99,21.15,16.23
GLAD2-LT01-2B-9H-2,40,42,23.12,38669.2,17.91,35.88,14.69,24.9,26,17.28,31.92,126.3,79.25,25.81,16.35,20.45,20.21,33.8,21.77,16.98,14.39,16.19,24.25,19.64,32.87,33.43,29.39,18.76,26.22,24.98,15.56,39.28,20.52,25.18,13.63,20.46,24.48,35.3,15.97,44.83,22.55,18.51,17.59,19.49,35.24,38.16,62.7,19.43,19.78,18.71,20.21,13.97,34.84,26.24
