Dep_m,Age_Ma,Xcham,Vcham,Xconi,Vconi,Xround,Vround,Xaphgt,Vaphgt,Xapwid,Vapwid,Mapsh,Msize,Vsize
159.7,6.43,4.36,6.7,59,12.5,34.8,54.6,25,33.1,80,28.2,0.312,297.2,18.6
161.9,6.66,4.37,7.2,59.9,10.4,33.8,46.2,25.9,26.9,74.9,28,0.346,278.8,17.4
163.4,6.82,4.4,6.7,58.9,10.2,30.5,55.7,26.6,30.3,76,32.4,0.35,265.3,16.4
164.9,6.98,4.41,5.7,60.8,11.9,28.2,37.7,25.3,29.3,67.9,26.3,0.372,250.5,16.7
166.4,7.14,4.51,4.9,60.2,12.2,23.6,47.3,26.4,25,64.4,22,0.41,243.5,14.9
169.28,7.24,4.37,5.9,57.8,8.7,31.7,37.5,29.4,21.8,65.8,20.3,0.447,249.8,13.1
171.7,7.29,4.47,6.5,59.7,9.6,28.7,45.5,29.9,25.3,73.9,26.8,0.405,272.3,19.1
173.4,7.33,4.52,7.1,60.5,9.3,24.7,49,31.1,22.3,75,33,0.414,261.7,18.3
174.9,7.36,4.45,6.9,61.2,9.5,27.8,34.9,30.6,22.6,71.3,19.6,0.429,260.2,12.9
176.4,7.39,4.56,5.8,60.2,9.4,22,40.1,23.2,15.9,50.7,14.3,0.457,,7.4
177.9,7.42,4.46,7.2,59.3,12.5,27,50.8,29,21.7,69.4,23.7,0.418,250,14.5
180.3,7.47,4.52,4.6,61,11.5,29.5,67.2,32.6,22,76.5,24.2,0.425,264.7,15.9
181.4,7.5,4.47,6,62.1,9.9,25.2,51.7,29.6,21.7,72.5,26.4,0.409,251.9,16.1
182.9,7.53,4.48,6.2,59.7,9.4,29.1,42.8,29.8,20,71.8,28.6,0.414,252,20.5
185.28,7.58,4.65,6,59.3,9.5,33.5,42.7,31.1,25.8,69.4,34.5,0.449,263.4,21.6
185.9,7.59,4.68,4.9,61.5,10.3,26.1,45.1,28.5,34.5,62.6,34.2,0.455,245.5,20.8
187.4,7.62,4.75,6.4,63.1,9.7,24.7,45,28.9,34.4,68.6,31.2,0.423,247.6,17.3
188.3,7.64,4.62,5.9,61.2,9.7,29.6,43.2,29.2,30.9,66,31.6,0.454,246.3,18.5
190.4,7.68,4.71,5.2,61,11.5,24.2,48.3,28.6,24.2,61.8,29.4,0.464,242.7,8.8
193.9,7.76,4.7,6.2,58.7,14.8,31.8,41.2,30,26.1,64.5,26.3,0.466,237.7,15.5
200,7.88,4.75,5.3,56.6,11.8,40,40.6,37.2,26.2,79.9,23.5,0.466,275.3,17.6
203.4,7.95,4.72,4.9,54.5,13.4,36.1,37.6,28.7,30.1,60.3,28.9,0.476,235.6,13.6
206.4,8.02,4.76,5,57.6,18.7,34.5,47.8,30.7,29.2,61.3,39.1,0.5,259.6,23.4
