No,Spec.,Species,Kimura et al (2013b),Age,Time Slice,Locality,Tooth,Length,Width,VanDam1997,RatioAnterostyle,Angle(anterostyle),Angle(enterostyle),1X,1Y,2X,2Y,3X,3Y,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y,10X,10Y,11X,11Y,12X,12Y,13X,13Y,UniX,UniY
157,7665,Progonomys debruijni,,9.23,Time 4,182,M1/,1.610,1.090,1.130,0.336,32.000,51.000,-0.002,0.000,0.000,0.001,0.001,0.000,0.001,0.000,-0.004,0.000,0.001,-0.002,0.004,-0.006,-0.002,0.017,0.019,0.001,0.013,-0.025,0.009,-0.006,0.022,0.001,0.006,0.011,0.008,-0.036
158,7678,Progonomys debruijni,,9.23,Time 4,182,M1/,1.740,1.090,1.143,0.283,45.000,75.000,0.003,0.004,-0.002,0.000,0.003,-0.001,0.007,0.005,-0.004,0.007,0.000,-0.009,-0.003,-0.011,0.011,0.016,0.015,-0.003,0.022,-0.008,-0.002,0.000,-0.024,-0.010,0.001,0.009,-0.003,-0.031
159,7679,Progonomys debruijni,,9.23,Time 4,182,M1/,1.720,1.060,1.074,0.396,33.000,63.000,0.001,0.000,0.002,0.000,-0.001,0.002,-0.001,-0.001,0.000,0.001,-0.002,0.001,-0.003,0.005,-0.002,0.000,-0.001,-0.008,0.002,0.008,-0.013,-0.001,-0.022,0.003,0.004,0.006,-0.008,-0.022
160,7687,Progonomys debruijni,,9.23,Time 4,182,M1/,1.710,1.050,1.105,0.455,36.000,63.000,-0.002,-0.002,0.003,0.001,-0.002,0.001,-0.003,-0.001,0.000,0.005,0.004,0.015,-0.003,0.004,-0.007,0.003,0.007,-0.003,0.006,-0.001,-0.014,0.001,0.014,-0.017,0.011,0.010,-0.003,0.030
161,7689,Progonomys debruijni,,9.23,Time 4,182,M1/,1.720,1.020,1.037,0.303,31.000,66.000,0.001,0.002,0.001,0.000,0.001,0.003,0.002,0.003,-0.003,-0.003,-0.003,-0.006,0.000,-0.003,0.001,0.007,0.017,-0.002,0.013,-0.002,0.002,0.004,-0.002,0.008,0.018,0.005,-0.032,-0.024
162,7700,Progonomys debruijni,,9.23,Time 4,182,M1/,1.770,1.010,1.079,0.283,40.000,58.000,-0.001,0.001,-0.001,0.001,0.003,-0.002,0.003,0.000,-0.003,0.005,-0.001,-0.003,0.002,-0.009,-0.005,0.015,0.026,-0.006,0.019,-0.009,-0.005,-0.007,-0.005,0.009,0.045,-0.004,-0.056,-0.021
163,7702,Progonomys debruijni,,9.23,Time 4,182,M1/,1.680,0.990,1.018,0.458,40.000,63.000,0.003,0.002,0.001,0.000,0.000,0.003,0.000,0.004,-0.001,0.000,-0.003,-0.002,-0.005,0.003,0.004,-0.002,-0.002,0.001,-0.002,0.006,-0.022,-0.005,0.023,0.013,0.004,-0.013,-0.016,-0.002
164,7704,Progonomys debruijni,,9.23,Time 4,182,M1/,1.770,1.090,1.117,0.368,33.000,56.000,0.002,0.004,0.000,0.000,0.002,-0.001,0.003,-0.002,-0.005,0.009,-0.002,-0.013,0.001,-0.001,0.002,0.013,0.003,-0.010,0.003,-0.018,-0.016,-0.016,0.004,0.016,0.021,-0.004,-0.029,-0.019
165,7705,Progonomys debruijni,,9.23,Time 4,182,M1/,1.660,1.000,1.085,0.458,33.000,69.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.003,0.000,0.001,0.000,-0.001,0.002,-0.002,-0.001,0.003,0.004,0.000,-0.006,-0.001,0.000,-0.004,0.023,-0.001,0.006,-0.005,-0.008,0.007
166,7718,Progonomys debruijni,,9.23,Time 4,182,M1/,1.620,0.920,1.006,0.357,43.000,67.000,0.000,0.001,-0.001,-0.001,-0.001,-0.003,0.002,-0.004,-0.004,-0.001,0.000,-0.006,0.003,0.002,0.005,0.008,0.009,-0.001,0.017,-0.016,0.007,0.009,-0.022,0.002,-0.016,-0.006,-0.044,-0.004
167,7735,Progonomys debruijni,,9.23,Time 4,182,M1/,1.740,0.990,1.007,0.234,38.000,69.000,-0.001,-0.001,0.000,0.001,0.002,-0.002,0.000,0.001,0.000,0.002,0.002,-0.003,0.001,-0.004,0.002,0.002,-0.003,0.016,0.002,-0.003,-0.002,0.002,-0.014,0.012,0.010,0.007,-0.036,-0.003
168,7736,Progonomys debruijni,,9.23,Time 4,182,M1/,1.670,1.060,1.124,0.440,39.000,52.000,-0.001,-0.001,0.002,0.003,0.002,0.000,-0.003,0.004,-0.002,-0.001,-0.002,0.000,0.003,0.010,0.001,0.009,0.001,-0.018,-0.015,-0.032,0.007,0.002,0.003,0.029,0.030,0.041,-0.019,-0.011
169,7738,Progonomys debruijni,,9.23,Time 4,182,M1/,1.640,1.110,1.156,0.423,43.000,62.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,-0.002,-0.002,-0.003,-0.003,0.002,-0.002,0.001,0.009,0.006,-0.007,-0.016,-0.017,-0.004,-0.007,0.049,-0.004,0.018,-0.029,0.021,-0.022
170,7739,Progonomys debruijni,,9.23,Time 4,182,M1/,1.730,1.060,1.111,0.376,39.000,55.000,0.002,0.002,-0.002,0.000,0.001,-0.003,0.001,0.005,-0.002,0.000,-0.002,0.002,-0.002,0.003,0.005,0.010,0.012,-0.013,-0.009,-0.007,-0.011,-0.016,0.016,0.019,0.039,-0.008,-0.013,-0.007
171,7740,Progonomys debruijni,,9.23,Time 4,182,M1/,1.810,1.100,1.099,0.473,34.000,59.000,0.001,0.001,0.001,0.000,0.001,0.002,0.001,0.007,0.002,0.001,-0.004,-0.004,-0.004,0.001,0.004,-0.003,-0.005,-0.013,0.004,-0.006,-0.007,0.000,-0.020,0.020,0.014,-0.004,-0.045,-0.020
172,33525,Karnimata darwini,,9.4,Time 4,224,M1/,2.180,1.350,1.094,0.521,53.000,70.000,-0.001,-0.001,-0.002,0.000,0.001,-0.001,0.000,0.002,0.003,-0.003,-0.003,-0.004,0.001,0.000,0.000,-0.006,-0.011,-0.002,-0.009,0.000,-0.001,0.002,0.006,-0.012,-0.012,0.017,-0.007,0.011
173,33544,Karnimata sp.,,10.05,Time 3,311,M1/,1.780,1.110,1.047,0.422,44.000,61.000,0.004,0.003,0.000,-0.001,0.000,0.002,0.003,0.003,-0.002,0.000,-0.002,-0.002,-0.004,0.002,0.006,0.001,0.004,-0.002,0.001,0.012,-0.005,0.003,0.008,-0.006,0.007,0.000,0.022,-0.018
